date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-06-08,1810,和成,20260605,22.60,23846.581,20.35,-9.9558,<30
2026-06-08,2461,光群雷,20260605,19.50,9408.753,17.60,-9.7436,<30
2026-06-08,2483,百容,20260605,30.45,10502.94,27.45,-9.8522,<30
2026-06-08,3015,全漢,20260605,68.90,23541.119,62.10,-9.8694,50-70
2026-06-08,3114,好德,20260605,44.65,7049,40.25,-9.8544,30-50
2026-06-08,3441,聯一光,20260605,60.20,8910,54.20,-9.9668,50-70
2026-06-08,3537,堡達,20260605,83.60,8452,75.30,-9.9282,70-100
2026-06-08,4939,亞電,20260605,59.70,17918,55.00,-7.8727,50-70
2026-06-08,5426,振發,20260605,29.95,11300,27.50,-8.1803,<30
2026-06-08,5701,劍湖山,20260605,6.43,8494,6.50,1.0886,<30
2026-06-08,6155,鈞寶,20260605,79.30,16373.795,72.30,-8.8272,70-100
2026-06-08,6175,立敦,20260605,96.60,15356,87.00,-9.9379,70-100
2026-06-08,6270,倍微,20260605,32.60,6215,32.75,0.4601,30-50
2026-06-08,6284,佳邦,20260605,111.00,10606,99.90,-10.0000,70-100
2026-06-08,6763,綠界科技*,20260605,50.40,6716,49.80,-1.1905,30-50
