date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-08-11,1409,新纖,20260810,24.75,6300.637,24.80,0.2020,<30
2026-08-11,1455,集盛,20260810,9.90,5146.746,9.80,-1.0101,<30
2026-08-11,1605,華新,20260810,38.00,74196.432,37.90,-0.2632,30-50
2026-08-11,2030,彰源,20260810,20.45,8910.591,21.40,4.6455,<30
2026-08-11,2103,台橡,20260810,27.50,24706.261,27.80,1.0909,<30
2026-08-11,2409,友達,20260810,27.00,216206.48,27.85,3.1481,<30
2026-08-11,2465,麗臺,20260810,93.60,7060.43,94.60,1.0684,70-100
2026-08-11,3149,正達,20260810,69.00,12586.324,69.70,1.0145,50-70
2026-08-11,3481,群創,20260810,52.30,219970.431,51.40,-1.7208,50-70
2026-08-11,3624,光頡,20260810,82.20,5119,82.20,0.0000,70-100
2026-08-11,3704,合勤控,20260810,50.40,10803.641,47.20,-6.3492,30-50
2026-08-11,6116,彩晶,20260810,14.90,76264.713,14.65,-1.6779,<30
2026-08-11,6456,GIS-KY,20260810,67.60,6007.273,68.00,0.5917,50-70
2026-08-11,9921,巨大,20260810,101.50,9853.081,99.90,-1.5764,70-100
2026-08-11,9934,成霖,20260810,12.00,7763.295,11.85,-1.2500,<30
