datetime,open,high,low,close,volume,average
2026-09-17T09:00:00.000+08:00,56,56.7,55.2,55.2,1620,55.94
2026-09-17T09:01:00.000+08:00,55.2,55.3,54.1,54.1,756,55.53
2026-09-17T09:03:00.000+08:00,54.4,54.6,54.2,54.6,488,55.33
2026-09-17T09:04:00.000+08:00,54.6,54.6,53.7,54.2,786,55.05
2026-09-17T09:05:00.000+08:00,54.1,55.9,54,55.3,806,55.01
2026-09-17T09:06:00.000+08:00,55.5,55.5,54.4,55.2,527,55.02
2026-09-17T09:07:00.000+08:00,55.2,55.2,54.5,54.6,291,55.02
2026-09-17T09:08:00.000+08:00,54.6,55,54.5,54.8,185,55.01
2026-09-17T09:09:00.000+08:00,54.7,55.3,54.4,55.2,294,54.99
2026-09-17T09:10:00.000+08:00,55.4,57.3,55,57.3,779,55.13
2026-09-17T09:12:00.000+08:00,56.9,57,56.2,56.2,428,55.23
2026-09-17T09:13:00.000+08:00,56.1,56.3,55.5,55.9,343,55.26
2026-09-17T09:14:00.000+08:00,55.8,56,55.1,55.3,342,55.27
2026-09-17T09:15:00.000+08:00,55.3,55.8,55,55,307,55.28
2026-09-17T09:16:00.000+08:00,55.1,55.9,55,55.6,209,55.28
2026-09-17T09:17:00.000+08:00,55.6,55.6,55.5,55.5,86,55.28
2026-09-17T09:18:00.000+08:00,55.6,55.6,55.2,55.5,192,55.29
2026-09-17T09:19:00.000+08:00,55.5,56.3,55.3,55.7,282,55.3
2026-09-17T09:20:00.000+08:00,55.8,55.8,55.5,55.6,80,55.31
2026-09-17T09:21:00.000+08:00,55.5,56,55.5,56,144,55.31
2026-09-17T09:22:00.000+08:00,55.9,56.4,55.9,56,317,55.34
2026-09-17T09:23:00.000+08:00,56,56.6,56,56.4,356,55.38
2026-09-17T09:24:00.000+08:00,56.3,56.6,56.1,56.1,239,55.41
2026-09-17T09:25:00.000+08:00,56.1,56.2,56,56,96,55.41
2026-09-17T09:26:00.000+08:00,56,56.3,55.8,55.8,200,55.42
2026-09-17T09:27:00.000+08:00,55.9,56.1,55.8,56.1,68,55.43
2026-09-17T09:28:00.000+08:00,56,56.6,55.9,56.5,201,55.45
2026-09-17T09:29:00.000+08:00,56.5,56.5,55.7,55.7,144,55.45
2026-09-17T09:30:00.000+08:00,55.7,55.8,55.6,55.6,79,55.46
2026-09-17T09:31:00.000+08:00,55.6,55.7,55.5,55.7,119,55.46
2026-09-17T09:32:00.000+08:00,55.7,55.8,55.5,55.6,66,55.46
2026-09-17T09:33:00.000+08:00,55.7,55.8,55.6,55.7,54,55.46
2026-09-17T09:34:00.000+08:00,55.7,56,55.5,55.8,147,55.46
2026-09-17T09:35:00.000+08:00,55.7,55.8,55.6,55.7,49,55.46
2026-09-17T09:36:00.000+08:00,55.7,55.7,55.6,55.7,39,55.47
2026-09-17T09:37:00.000+08:00,55.7,56.1,55.4,56.1,254,55.47
2026-09-17T09:38:00.000+08:00,56.1,56.1,55.7,55.8,51,55.47
2026-09-17T09:39:00.000+08:00,55.8,55.8,55.6,55.6,61,55.47
2026-09-17T09:40:00.000+08:00,55.6,55.9,55.6,55.7,48,55.47
2026-09-17T09:41:00.000+08:00,55.7,55.7,55.4,55.4,85,55.47
2026-09-17T09:42:00.000+08:00,55.4,55.4,55.2,55.2,214,55.47
2026-09-17T09:43:00.000+08:00,55.2,55.5,55,55.1,144,55.47
2026-09-17T09:44:00.000+08:00,55.1,55.3,55,55.3,58,55.47
2026-09-17T09:45:00.000+08:00,55.3,55.5,55.1,55.1,136,55.46
2026-09-17T09:46:00.000+08:00,55.1,55.2,55,55.1,159,55.46
2026-09-17T09:47:00.000+08:00,55.2,55.3,55,55,83,55.46
2026-09-17T09:48:00.000+08:00,55.1,55.1,54.6,54.7,327,55.44
2026-09-17T09:49:00.000+08:00,54.8,55.1,54.7,54.8,112,55.44
2026-09-17T09:50:00.000+08:00,55,55,54.7,54.9,69,55.43
2026-09-17T09:51:00.000+08:00,54.8,55.2,54.5,55.1,350,55.42
2026-09-17T09:52:00.000+08:00,55.1,55.1,54.6,54.8,70,55.41
2026-09-17T09:53:00.000+08:00,54.9,55.2,54.9,55.2,61,55.41
2026-09-17T09:54:00.000+08:00,55.1,55.2,54.9,55,42,55.41
2026-09-17T09:55:00.000+08:00,55,55,54.8,54.8,36,55.41
2026-09-17T09:56:00.000+08:00,54.8,54.9,54.7,54.8,37,55.41
2026-09-17T09:57:00.000+08:00,54.8,54.8,54.6,54.7,29,55.4
2026-09-17T09:58:00.000+08:00,54.7,54.7,54.6,54.7,41,55.4
2026-09-17T09:59:00.000+08:00,54.7,54.8,54.6,54.8,61,55.4
2026-09-17T10:00:00.000+08:00,54.7,54.9,54.7,54.7,49,55.4
2026-09-17T10:01:00.000+08:00,54.8,55.1,54.5,54.9,148,55.39
2026-09-17T10:02:00.000+08:00,54.9,55,54.9,55,19,55.39
2026-09-17T10:03:00.000+08:00,55.1,56.4,55.1,55.7,361,55.4
2026-09-17T10:04:00.000+08:00,55.6,56.3,55.6,56.3,170,55.41
2026-09-17T10:05:00.000+08:00,56.3,56.4,55.8,55.8,159,55.42
2026-09-17T10:06:00.000+08:00,55.8,55.9,55.6,55.9,43,55.42
2026-09-17T10:07:00.000+08:00,55.9,56.1,55.9,55.9,33,55.42
2026-09-17T10:08:00.000+08:00,55.9,56,55.8,55.8,21,55.42
2026-09-17T10:09:00.000+08:00,55.8,55.8,55.5,55.5,47,55.42
2026-09-17T10:10:00.000+08:00,55.5,56.2,55.4,56.1,92,55.42
2026-09-17T10:11:00.000+08:00,56.1,56.2,55.9,56,97,55.43
2026-09-17T10:12:00.000+08:00,56,58.6,55.9,58.6,787,55.51
2026-09-17T10:14:00.000+08:00,58.7,58.9,57.2,57.5,1085,55.7
2026-09-17T10:15:00.000+08:00,57.5,57.7,57.1,57.4,353,55.73
2026-09-17T10:16:00.000+08:00,57.4,57.7,56.9,57,188,55.75
2026-09-17T10:17:00.000+08:00,57,58,56.8,57.9,164,55.77
2026-09-17T10:18:00.000+08:00,57.8,57.9,57.3,57.3,119,55.78
2026-09-17T10:19:00.000+08:00,57.3,57.4,56.8,56.9,74,55.79
2026-09-17T10:20:00.000+08:00,56.9,57.2,56.8,57.1,164,55.8
2026-09-17T10:21:00.000+08:00,57.1,57.2,57,57.2,31,55.8
2026-09-17T10:22:00.000+08:00,57.2,57.5,57.2,57.3,115,55.81
2026-09-17T10:23:00.000+08:00,57.3,57.4,57.2,57.2,42,55.81
2026-09-17T10:24:00.000+08:00,57.2,57.2,57.1,57.2,30,55.81
2026-09-17T10:25:00.000+08:00,57.3,57.3,57.2,57.2,40,55.82
2026-09-17T10:26:00.000+08:00,57.2,57.2,56.8,56.8,50,55.82
2026-09-17T10:27:00.000+08:00,56.9,57,56.8,56.8,45,55.82
2026-09-17T10:28:00.000+08:00,56.8,56.9,56.5,56.7,224,55.83
2026-09-17T10:29:00.000+08:00,56.8,56.8,56.5,56.5,39,55.84
2026-09-17T10:30:00.000+08:00,56.5,56.6,56.4,56.6,75,55.84
2026-09-17T10:31:00.000+08:00,56.5,56.5,56.3,56.4,37,55.84
2026-09-17T10:32:00.000+08:00,56.4,56.4,56.3,56.3,50,55.84
2026-09-17T10:33:00.000+08:00,56.3,56.3,56,56.1,79,55.84
2026-09-17T10:34:00.000+08:00,56.1,56.2,56.1,56.1,29,55.84
2026-09-17T10:35:00.000+08:00,56.2,56.3,56.1,56.2,12,55.84
2026-09-17T10:36:00.000+08:00,56.2,56.5,56.2,56.5,49,55.84
2026-09-17T10:37:00.000+08:00,56.6,56.8,56.5,56.6,49,55.85
2026-09-17T10:38:00.000+08:00,56.6,57,56.6,56.8,42,55.85
2026-09-17T10:39:00.000+08:00,56.9,57,56.7,56.7,49,55.85
2026-09-17T10:40:00.000+08:00,56.7,56.9,56.7,56.9,35,55.85
2026-09-17T10:41:00.000+08:00,56.8,56.8,56.6,56.7,11,55.85
2026-09-17T10:42:00.000+08:00,56.6,56.6,56.6,56.6,14,55.85
2026-09-17T10:43:00.000+08:00,56.6,56.6,56.4,56.4,34,55.85
2026-09-17T10:44:00.000+08:00,56.3,56.4,56.1,56.1,36,55.86
2026-09-17T10:45:00.000+08:00,56.2,56.6,56.2,56.4,38,55.86
2026-09-17T10:46:00.000+08:00,56.4,56.5,56.4,56.4,24,55.86
2026-09-17T10:47:00.000+08:00,56.4,56.5,56.3,56.5,8,55.86
2026-09-17T10:48:00.000+08:00,56.4,56.4,55.9,56,75,55.86
2026-09-17T10:49:00.000+08:00,56,56.3,56,56.3,24,55.86
2026-09-17T10:50:00.000+08:00,56.3,56.3,56.2,56.2,6,55.86
2026-09-17T10:51:00.000+08:00,56.2,56.2,56.2,56.2,2,55.86
2026-09-17T10:52:00.000+08:00,56.3,56.3,56.2,56.2,11,55.86
2026-09-17T10:53:00.000+08:00,56.2,56.2,56.1,56.1,5,55.86
2026-09-17T10:54:00.000+08:00,56.3,56.3,56.1,56.3,12,55.86
2026-09-17T10:55:00.000+08:00,56.3,56.3,56.2,56.2,4,55.86
2026-09-17T10:56:00.000+08:00,56.2,56.3,56.2,56.3,10,55.86
2026-09-17T10:57:00.000+08:00,56.1,56.2,56,56.1,16,55.86
2026-09-17T10:58:00.000+08:00,56.1,56.9,56.1,56.9,67,55.86
2026-09-17T10:59:00.000+08:00,56.9,57,56.7,56.8,80,55.87
2026-09-17T11:00:00.000+08:00,56.8,56.9,56.7,56.7,20,55.87
2026-09-17T11:01:00.000+08:00,56.7,57.1,56.7,57,59,55.87
