date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-06-17,1905,華紙,20260616,14.15,14957.118,15.55,9.8940,<30
2026-06-17,2302,麗正,20260616,41.80,12202.574,41.15,-1.5550,30-50
2026-06-17,2342,茂矽,20260616,48.05,15338.141,48.80,1.5609,30-50
2026-06-17,2399,映泰,20260616,52.80,14018.12,54.00,2.2727,50-70
2026-06-17,3339,泰谷,20260616,49.50,6777,50.00,1.0101,50-70
2026-06-17,3441,聯一光,20260616,81.00,13229,83.80,3.4568,70-100
2026-06-17,3550,聯穎,20260616,30.85,10939.707,32.95,6.8071,30-50
2026-06-17,3630,新鉅科,20260616,33.55,8867,33.90,1.0432,30-50
2026-06-17,4976,佳凌,20260616,38.05,6809.301,38.05,0.0000,30-50
2026-06-17,5302,太欣,20260616,12.70,6623,13.15,3.5433,<30
2026-06-17,5328,華容,20260616,51.20,37159,53.00,3.5156,50-70
2026-06-17,6209,今國光,20260616,95.30,49724.537,95.50,0.2099,70-100
2026-06-17,6517,保勝光學,20260616,76.60,6186,76.00,-0.7833,70-100
2026-06-17,7777,能率亞洲,20260616,43.25,13087,43.10,-0.3468,30-50
2026-06-17,8071,能率網通,20260616,29.60,9716,29.60,0.0000,<30
