date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-04-30,1722,台肥,20260429,48.70,20006.046,51.00,4.7228,50-70
2026-04-30,1727,中華化,20260429,83.20,18527.043,81.80,-1.6827,70-100
2026-04-30,2340,台亞,20260429,38.85,12523.938,39.35,1.2870,30-50
2026-04-30,2426,鼎元,20260429,59.50,36419.814,62.60,5.2101,50-70
2026-04-30,2489,瑞軒,20260429,42.00,85451.042,42.00,0.0000,30-50
2026-04-30,3016,嘉晶,20260429,81.60,20043.561,89.70,9.9265,70-100
2026-04-30,3149,正達,20260429,47.70,15060.457,49.00,2.7254,30-50
2026-04-30,5425,台半,20260429,64.60,17375,65.70,1.7028,50-70
2026-04-30,6168,宏齊,20260429,26.95,6114.169,26.80,-0.5566,<30
2026-04-30,6205,詮欣,20260429,91.70,17534.864,91.70,0.0000,70-100
2026-04-30,6218,豪勉,20260429,39.30,7922,39.30,0.0000,30-50
2026-04-30,6234,高僑,20260429,48.05,12292,51.40,6.9719,50-70
