date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-07-22,1710,東聯,20260721,16.95,13437.908,17.00,0.2950,<30
2026-07-22,1810,和成,20260721,31.05,32703.288,33.40,7.5684,30-50
2026-07-22,2312,金寶,20260721,33.10,23296.423,33.15,0.1511,30-50
2026-07-22,2630,亞航,20260721,58.90,10053.046,59.20,0.5093,50-70
2026-07-22,2634,漢翔,20260721,71.50,92665.583,73.00,2.0979,70-100
2026-07-22,3605,宏致,20260721,84.40,6731.941,85.90,1.7773,70-100
2026-07-22,4541,晟田,20260721,75.70,10264,79.80,5.4161,70-100
2026-07-22,4939,亞電,20260721,72.80,36348,76.90,5.6319,70-100
2026-07-22,5328,華容,20260721,60.30,6433,65.00,7.7944,50-70
2026-07-22,6505,台塑化,20260721,85.40,49355.848,87.40,2.3419,70-100
2026-07-22,8105,凌巨,20260721,17.65,5161.417,17.65,0.0000,<30
