datetime,open,high,low,close,volume,average
2026-09-18T09:00:00.000+08:00,57.7,57.7,57.7,57.7,1361,57.7
2026-09-18T09:02:00.000+08:00,57.2,57.2,57.2,57.2,301,57.61
2026-09-18T09:04:00.000+08:00,56.5,56.5,56.5,56.5,313,57.43
2026-09-18T09:06:00.000+08:00,55,55,55,55,467,56.97
2026-09-18T09:08:00.000+08:00,55.5,55.5,55.5,55.5,455,56.74
2026-09-18T09:10:00.000+08:00,55.5,55.5,55.5,55.5,416,56.58
2026-09-18T09:12:00.000+08:00,55.1,55.1,55.1,55.1,306,56.46
2026-09-18T09:14:00.000+08:00,54.8,54.8,54.8,54.8,413,56.29
2026-09-18T09:16:00.000+08:00,54.3,54.3,54.3,54.3,511,56.06
2026-09-18T09:18:00.000+08:00,54.1,54.1,54.1,54.1,460,55.88
2026-09-18T09:20:00.000+08:00,53.8,53.8,53.8,53.8,275,55.77
2026-09-18T09:22:00.000+08:00,54,54,54,54,403,55.65
2026-09-18T09:24:00.000+08:00,54.2,54.2,54.2,54.2,313,55.57
2026-09-18T09:26:00.000+08:00,54.4,54.4,54.4,54.4,302,55.52
2026-09-18T09:28:00.000+08:00,54.6,54.6,54.6,54.6,170,55.49
2026-09-18T09:30:00.000+08:00,54.5,54.5,54.5,54.5,140,55.47
2026-09-18T09:32:00.000+08:00,54.3,54.3,54.3,54.3,154,55.44
2026-09-18T09:34:00.000+08:00,54.6,54.6,54.6,54.6,118,55.43
2026-09-18T09:36:00.000+08:00,55.4,55.4,55.4,55.4,194,55.43
2026-09-18T09:38:00.000+08:00,55.8,55.8,55.8,55.8,247,55.44
2026-09-18T09:40:00.000+08:00,56,56,56,56,122,55.45
2026-09-18T09:42:00.000+08:00,56.5,56.5,56.5,56.5,124,55.47
2026-09-18T09:44:00.000+08:00,56.7,56.7,56.7,56.7,147,55.49
2026-09-18T09:46:00.000+08:00,56.7,56.7,56.7,56.7,113,55.51
2026-09-18T09:48:00.000+08:00,57.1,57.1,57.1,57.1,165,55.54
2026-09-18T09:50:00.000+08:00,57.3,57.3,57.3,57.3,102,55.56
2026-09-18T09:52:00.000+08:00,57.6,57.6,57.6,57.6,144,55.6
2026-09-18T09:54:00.000+08:00,58.5,58.5,58.5,58.5,165,55.66
2026-09-18T09:56:00.000+08:00,59,59,59,59,213,55.74
2026-09-18T09:58:00.000+08:00,58.5,58.5,58.5,58.5,124,55.78
2026-09-18T10:00:00.000+08:00,57.9,57.9,57.9,57.9,142,55.81
2026-09-18T10:02:00.000+08:00,57.5,57.5,57.5,57.5,117,55.83
2026-09-18T10:04:00.000+08:00,57.6,57.6,57.6,57.6,67,55.85
2026-09-18T10:06:00.000+08:00,58.1,58.1,58.1,58.1,59,55.86
2026-09-18T10:08:00.000+08:00,58.3,58.3,58.3,58.3,67,55.88
2026-09-18T10:10:00.000+08:00,58.4,58.4,58.4,58.4,70,55.9
2026-09-18T10:12:00.000+08:00,58.1,58.1,58.1,58.1,60,55.91
2026-09-18T10:14:00.000+08:00,57.7,57.7,57.7,57.7,83,55.93
2026-09-18T10:16:00.000+08:00,57.6,57.6,57.6,57.6,65,55.94
2026-09-18T10:18:00.000+08:00,57.7,57.7,57.7,57.7,65,55.95
2026-09-18T10:20:00.000+08:00,57.7,57.7,57.7,57.7,45,55.96
2026-09-18T10:22:00.000+08:00,57.7,57.7,57.7,57.7,30,55.97
2026-09-18T10:24:00.000+08:00,57.8,57.8,57.8,57.8,21,55.97
2026-09-18T10:26:00.000+08:00,58,58,58,58,41,55.98
2026-09-18T10:28:00.000+08:00,58.2,58.2,58.2,58.2,27,55.98
2026-09-18T10:30:00.000+08:00,58.4,58.4,58.4,58.4,30,55.99
2026-09-18T10:32:00.000+08:00,58.5,58.5,58.5,58.5,49,56
2026-09-18T10:34:00.000+08:00,58.5,58.5,58.5,58.5,62,56.02
2026-09-18T10:36:00.000+08:00,58.5,58.5,58.5,58.5,55,56.03
2026-09-18T10:38:00.000+08:00,58.5,58.5,58.5,58.5,93,56.06
2026-09-18T10:40:00.000+08:00,58.5,58.5,58.5,58.5,42,56.07
2026-09-18T10:42:00.000+08:00,58.3,58.3,58.3,58.3,83,56.09
2026-09-18T10:44:00.000+08:00,58.4,58.4,58.4,58.4,57,56.1
2026-09-18T10:46:00.000+08:00,58.4,58.4,58.4,58.4,62,56.11
2026-09-18T10:48:00.000+08:00,58,58,58,58,60,56.12
2026-09-18T10:50:00.000+08:00,57.9,57.9,57.9,57.9,32,56.13
2026-09-18T10:52:00.000+08:00,57.8,57.8,57.8,57.8,27,56.13
2026-09-18T10:54:00.000+08:00,57.5,57.5,57.5,57.5,65,56.14
2026-09-18T10:56:00.000+08:00,57.3,57.3,57.3,57.3,64,56.15
2026-09-18T10:58:00.000+08:00,57.2,57.2,57.2,57.2,35,56.15
2026-09-18T11:00:00.000+08:00,57.4,57.4,57.4,57.4,29,56.16
2026-09-18T11:02:00.000+08:00,57.7,57.7,57.7,57.7,56,56.16
2026-09-18T11:04:00.000+08:00,57.8,57.8,57.8,57.8,32,56.17
2026-09-18T11:06:00.000+08:00,57.8,57.8,57.8,57.8,33,56.17
2026-09-18T11:08:00.000+08:00,57.8,57.8,57.8,57.8,35,56.18
2026-09-18T11:10:00.000+08:00,57.8,57.8,57.8,57.8,37,56.19
2026-09-18T11:12:00.000+08:00,57.8,57.8,57.8,57.8,24,56.19
2026-09-18T11:14:00.000+08:00,57.9,57.9,57.9,57.9,9,56.19
2026-09-18T11:16:00.000+08:00,57.9,57.9,57.9,57.9,18,56.19
2026-09-18T11:18:00.000+08:00,57.8,57.8,57.8,57.8,31,56.2
2026-09-18T11:20:00.000+08:00,57.8,57.8,57.8,57.8,12,56.2
2026-09-18T11:22:00.000+08:00,57.9,57.9,57.9,57.9,11,56.2
2026-09-18T11:24:00.000+08:00,58,58,58,58,29,56.21
2026-09-18T11:26:00.000+08:00,58,58,58,58,197,56.24
2026-09-18T11:28:00.000+08:00,58.4,58.4,58.4,58.4,62,56.25
2026-09-18T11:30:00.000+08:00,58.5,58.5,58.5,58.5,65,56.26
2026-09-18T11:32:00.000+08:00,58.5,58.5,58.5,58.5,43,56.27
2026-09-18T11:34:00.000+08:00,58.2,58.2,58.2,58.2,43,56.28
2026-09-18T11:36:00.000+08:00,58.2,58.2,58.2,58.2,12,56.28
2026-09-18T11:38:00.000+08:00,58.2,58.2,58.2,58.2,26,56.29
2026-09-18T11:40:00.000+08:00,58.2,58.2,58.2,58.2,7,56.29
2026-09-18T11:42:00.000+08:00,58.4,58.4,58.4,58.4,9,56.29
2026-09-18T11:44:00.000+08:00,58.4,58.4,58.4,58.4,7,56.29
2026-09-18T11:46:00.000+08:00,58.4,58.4,58.4,58.4,17,56.29
2026-09-18T11:48:00.000+08:00,58.5,58.5,58.5,58.5,61,56.3
2026-09-18T11:50:00.000+08:00,58.9,58.9,58.9,58.9,99,56.33
2026-09-18T11:52:00.000+08:00,58.9,58.9,58.9,58.9,82,56.35
2026-09-18T11:54:00.000+08:00,59,59,59,59,40,56.35
2026-09-18T11:56:00.000+08:00,59,59,59,59,67,56.37
2026-09-18T11:58:00.000+08:00,59,59,59,59,41,56.38
2026-09-18T12:00:00.000+08:00,58.9,58.9,58.9,58.9,28,56.38
2026-09-18T12:02:00.000+08:00,58.8,58.8,58.8,58.8,12,56.39
2026-09-18T12:04:00.000+08:00,58.6,58.6,58.6,58.6,11,56.39
2026-09-18T12:06:00.000+08:00,58.9,58.9,58.9,58.9,12,56.39
2026-09-18T12:08:00.000+08:00,58.8,58.8,58.8,58.8,27,56.4
2026-09-18T12:10:00.000+08:00,58.9,58.9,58.9,58.9,17,56.4
2026-09-18T12:12:00.000+08:00,58.8,58.8,58.8,58.8,26,56.41
