date,code,name,prev2_date,prev2_close,prev_date,prev_close,limit_up_price,open,gap_pct,price_bucket
20260918,1314,中石化,20260916,8.15,20260917,8.96,8.96,9.11,1.6741,<30
20260918,6603,富強鑫,20260916,25.40,20260917,27.90,27.90,28.35,1.6129,<30
20260918,3031,佰鴻,20260916,24.25,20260917,26.65,26.65,27.00,1.3133,<30
20260918,3372,典範,20260916,14.95,20260917,16.40,16.40,16.60,1.2195,<30
20260918,6405,悅城,20260916,37.60,20260917,41.35,41.35,41.75,0.9674,30-50
20260918,3066,李洲,20260916,25.75,20260917,28.30,28.30,28.55,0.8834,<30
20260918,6226,光鼎,20260916,39.90,20260917,43.85,43.85,44.05,0.4561,30-50
20260918,6179,亞通,20260916,37.70,20260917,41.45,41.45,41.60,0.3619,30-50
20260918,6133,金橋,20260916,23.70,20260917,26.05,26.05,26.05,0.0000,<30
