date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-05-06,1595,川寶,20260505,84.70,5440,93.10,9.9174,70-100
2026-05-06,1802,台玻,20260505,72.80,141172.57,73.80,1.3736,70-100
2026-05-06,1809,中釉,20260505,31.05,16142.64,34.15,9.9839,30-50
2026-05-06,2342,茂矽,20260505,39.70,7017.435,42.00,5.7935,30-50
2026-05-06,2354,鴻準,20260505,58.50,36260.363,62.00,5.9829,50-70
2026-05-06,2417,圓剛,20260505,56.90,10351.663,58.40,2.6362,50-70
2026-05-06,2426,鼎元,20260505,69.30,6019.353,76.20,9.9567,70-100
2026-05-06,2465,麗臺,20260505,89.50,8479.16,93.50,4.4693,70-100
2026-05-06,2489,瑞軒,20260505,46.20,87302.261,47.90,3.6797,30-50
2026-05-06,3162,精確,20260505,83.00,8650,87.90,5.9036,70-100
2026-05-06,3481,群創,20260505,27.25,486930.201,27.80,2.0183,<30
2026-05-06,3550,聯穎,20260505,23.50,9625.894,24.25,3.1915,<30
2026-05-06,3707,漢磊,20260505,75.50,29436,77.60,2.7815,70-100
2026-05-06,4927,泰鼎-KY,20260505,58.70,30501.538,58.70,0.0000,50-70
2026-05-06,5464,霖宏,20260505,39.45,5772,43.35,9.8859,30-50
2026-05-06,6182,合晶,20260505,48.50,63678,51.50,6.1856,50-70
2026-05-06,6209,今國光,20260505,68.70,10567.936,68.50,-0.2911,50-70
2026-05-06,6405,悅城,20260505,61.40,12493.774,60.00,-2.2801,50-70
2026-05-06,8040,九暘,20260505,81.80,7676,89.90,9.9022,70-100
2026-05-06,8150,南茂,20260505,84.10,20021.669,92.50,9.9881,70-100
2026-05-06,8215,明基材,20260505,28.40,10633.226,30.95,8.9789,30-50
