datetime,open,high,low,close,volume,average
2026-08-31T09:00:00.000+08:00,35.25,36.25,34.05,34.05,2656,35.17
2026-08-31T09:02:00.000+08:00,34.1,35.25,34.05,35.25,901,34.96
2026-08-31T09:04:00.000+08:00,35.35,36.35,35.3,35.9,2249,35.24
2026-08-31T09:05:00.000+08:00,35.9,36.55,35.7,36.55,868,35.36
2026-08-31T09:07:00.000+08:00,36.6,36.6,35.35,35.4,1804,35.55
2026-08-31T09:09:00.000+08:00,35.4,35.6,34.4,34.6,2496,35.45
2026-08-31T09:10:00.000+08:00,34.6,35.3,34.5,34.8,1642,35.38
2026-08-31T09:11:00.000+08:00,34.75,35.55,34.65,35.5,1324,35.36
2026-08-31T09:12:00.000+08:00,35.5,35.65,35.2,35.65,981,35.37
2026-08-31T09:13:00.000+08:00,35.7,35.95,35.55,35.6,1057,35.4
2026-08-31T09:14:00.000+08:00,35.65,36.2,35.4,36.05,1112,35.42
2026-08-31T09:15:00.000+08:00,36.15,36.2,35.2,35.4,956,35.43
2026-08-31T09:16:00.000+08:00,35.35,35.5,35.1,35.25,705,35.43
2026-08-31T09:17:00.000+08:00,35.25,35.45,34.9,34.95,938,35.41
2026-08-31T09:18:00.000+08:00,35,35.15,34.95,35.1,399,35.4
2026-08-31T09:19:00.000+08:00,35.1,35.45,35.1,35.3,296,35.4
2026-08-31T09:20:00.000+08:00,35.35,35.35,34.7,34.7,1555,35.37
2026-08-31T09:21:00.000+08:00,34.8,34.8,34.25,34.65,1089,35.33
2026-08-31T09:22:00.000+08:00,34.65,34.9,34.6,34.7,505,35.32
2026-08-31T09:23:00.000+08:00,34.7,34.7,34.1,34.15,763,35.29
2026-08-31T09:24:00.000+08:00,34.25,34.7,34.2,34.55,480,35.28
2026-08-31T09:25:00.000+08:00,34.55,34.6,34.4,34.45,231,35.27
2026-08-31T09:26:00.000+08:00,34.45,34.6,34.45,34.5,250,35.26
2026-08-31T09:27:00.000+08:00,34.5,34.5,34.25,34.4,724,35.24
