date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-08-06,1310,台苯,20260805,8.17,7230.149,8.19,0.2448,<30
2026-08-06,2489,瑞軒,20260805,33.10,23176.014,33.05,-0.1511,30-50
2026-08-06,3576,聯合再生,20260805,18.25,20856.161,17.85,-2.1918,<30
2026-08-06,5351,鈺創,20260805,96.50,31072,95.90,-0.6218,70-100
2026-08-06,6116,彩晶,20260805,14.20,36172.134,14.20,0.0000,<30
2026-08-06,6269,台郡,20260805,61.70,6285.859,60.70,-1.6207,50-70
2026-08-06,6547,高端疫苗,20260805,52.10,7631,52.20,0.1919,50-70
2026-08-06,6770,力積電,20260805,66.10,240808.216,66.40,0.4539,50-70
2026-08-06,8050,廣積,20260805,64.90,5928,67.40,3.8521,50-70
