date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-06-01,4939,亞電,20260529,50.50,31020,55.00,8.9109,50-70
2026-06-01,5328,華容,20260529,39.60,29821,41.70,5.3030,30-50
2026-06-01,5392,能率,20260529,44.55,12327,46.40,4.1526,30-50
2026-06-01,6016,康和證,20260529,29.60,20847,29.80,0.6757,<30
2026-06-01,6127,九豪,20260529,67.30,37906,74.00,9.9554,70-100
2026-06-01,6134,萬旭,20260529,36.20,7800,39.75,9.8066,30-50
2026-06-01,7777,能率亞洲,20260529,41.65,9921,45.75,9.8439,30-50
