datetime,open,high,low,close,volume,average
2026-08-28T09:00:00.000+08:00,92.5,92.6,89.8,92.2,1076,92.03
2026-08-28T09:01:00.000+08:00,92.2,92.7,91.7,91.8,221,92.03
2026-08-28T09:02:00.000+08:00,92,93,91.8,92.4,206,92.11
2026-08-28T09:03:00.000+08:00,92.5,92.5,91.8,92,177,92.11
2026-08-28T09:04:00.000+08:00,91.8,91.8,90.4,90.7,279,91.97
2026-08-28T09:05:00.000+08:00,90.6,90.7,89.8,89.8,298,91.73
2026-08-28T09:06:00.000+08:00,89.9,91,89.9,90.8,136,91.66
2026-08-28T09:07:00.000+08:00,90.8,90.8,90.4,90.6,113,91.61
2026-08-28T09:08:00.000+08:00,90.5,90.6,89.8,89.8,202,91.5
2026-08-28T09:09:00.000+08:00,89.9,90,89.3,89.9,232,91.35
2026-08-28T09:10:00.000+08:00,89.9,90.2,89.8,90.2,71,91.32
2026-08-28T09:11:00.000+08:00,90.2,90.9,90,90.9,171,91.28
2026-08-28T09:12:00.000+08:00,90.9,91,90.8,91,94,91.27
2026-08-28T09:13:00.000+08:00,91,91,90.5,90.6,72,91.26
2026-08-28T09:14:00.000+08:00,90.7,90.7,90,90.3,62,91.24
2026-08-28T09:15:00.000+08:00,90.2,91,90.2,91,62,91.23
2026-08-28T09:16:00.000+08:00,90.8,90.9,90.5,90.7,35,91.23
2026-08-28T09:17:00.000+08:00,90.7,90.7,90.6,90.7,30,91.22
2026-08-28T09:18:00.000+08:00,90.6,90.6,90.4,90.4,32,91.21
2026-08-28T09:19:00.000+08:00,90.4,90.6,90.3,90.6,18,91.21
2026-08-28T09:20:00.000+08:00,90.6,90.6,90.1,90.1,63,91.2
2026-08-28T09:21:00.000+08:00,90.1,90.7,90.1,90.6,31,91.19
2026-08-28T09:22:00.000+08:00,90.6,90.9,90.6,90.9,28,91.19
2026-08-28T09:23:00.000+08:00,91,91,90.8,91,46,91.18
2026-08-28T09:24:00.000+08:00,91,91.5,91,91,96,91.19
2026-08-28T09:25:00.000+08:00,90.9,91.2,90.9,91,28,91.18
2026-08-28T09:26:00.000+08:00,91,91,90.8,91,19,91.18
2026-08-28T09:27:00.000+08:00,90.9,91.3,90.9,91,29,91.18
2026-08-28T09:28:00.000+08:00,91.2,91.4,91.2,91.4,42,91.18
2026-08-28T09:29:00.000+08:00,91.5,91.7,91.5,91.6,75,91.19
2026-08-28T09:30:00.000+08:00,91.6,92.3,91.4,92,122,91.21
2026-08-28T09:31:00.000+08:00,91.8,92.5,91.7,92.1,131,91.23
2026-08-28T09:32:00.000+08:00,92.2,93.5,92.1,93.1,314,91.35
2026-08-28T09:33:00.000+08:00,93.1,93.1,92.7,92.8,139,91.4
2026-08-28T09:34:00.000+08:00,92.8,92.9,92,92.2,90,91.42
2026-08-28T09:35:00.000+08:00,92.4,92.6,92.3,92.5,105,91.44
2026-08-28T09:36:00.000+08:00,92.3,92.7,92.2,92.6,34,91.45
2026-08-28T09:37:00.000+08:00,92.7,93.5,92.4,93.5,150,91.49
2026-08-28T09:38:00.000+08:00,93.5,94,93.1,93.3,94,91.53
2026-08-28T09:39:00.000+08:00,93.3,93.9,93,93.4,147,91.58
2026-08-28T09:40:00.000+08:00,93.4,93.4,92.2,92.5,154,91.61
2026-08-28T09:41:00.000+08:00,92.5,92.5,91.1,91.8,169,91.61
2026-08-28T09:42:00.000+08:00,92,92.5,92,92.3,64,91.62
2026-08-28T09:43:00.000+08:00,92,92.2,91.5,91.5,83,91.62
2026-08-28T09:44:00.000+08:00,91.6,91.9,91.3,91.4,67,91.62
2026-08-28T09:45:00.000+08:00,91.4,91.7,91.4,91.5,38,91.62
2026-08-28T09:46:00.000+08:00,91.4,91.4,90.6,91.1,144,91.6
2026-08-28T09:47:00.000+08:00,91.1,91.7,90.9,91.5,23,91.6
2026-08-28T09:48:00.000+08:00,91.4,91.4,90.8,91,74,91.6
2026-08-28T09:49:00.000+08:00,91.2,91.4,91.2,91.2,41,91.59
2026-08-28T09:50:00.000+08:00,91.5,92.1,91.5,92.1,29,91.59
2026-08-28T09:51:00.000+08:00,92,92,91.7,91.9,18,91.6
2026-08-28T09:52:00.000+08:00,91.9,92.3,91.8,92.2,22,91.6
2026-08-28T09:53:00.000+08:00,92.2,92.2,91.7,91.7,14,91.6
2026-08-28T09:54:00.000+08:00,91.6,91.9,91.6,91.7,47,91.6
2026-08-28T09:55:00.000+08:00,91.9,91.9,91,91,126,91.59
2026-08-28T09:56:00.000+08:00,91.1,91.9,91.1,91.9,29,91.59
2026-08-28T09:57:00.000+08:00,92,92,91.4,91.4,12,91.59
2026-08-28T09:58:00.000+08:00,91.2,91.6,91.2,91.5,22,91.59
2026-08-28T09:59:00.000+08:00,91.5,91.5,91.1,91.4,31,91.59
2026-08-28T10:00:00.000+08:00,91.4,91.8,91.4,91.7,18,91.59
2026-08-28T10:01:00.000+08:00,91.6,91.8,91.2,91.2,31,91.59
2026-08-28T10:02:00.000+08:00,91.2,91.4,90.8,90.9,85,91.58
2026-08-28T10:03:00.000+08:00,90.9,91.2,90.9,90.9,42,91.58
2026-08-28T10:04:00.000+08:00,90.9,91,90.5,90.5,72,91.57
2026-08-28T10:05:00.000+08:00,90.7,91,90.7,91,40,91.57
2026-08-28T10:06:00.000+08:00,91,91.1,90.8,90.8,17,91.57
2026-08-28T10:07:00.000+08:00,91,91,90.7,90.7,4,91.57
2026-08-28T10:08:00.000+08:00,91,91,90.9,90.9,2,91.57
2026-08-28T10:09:00.000+08:00,91,91.2,91,91.1,16,91.56
2026-08-28T10:10:00.000+08:00,91.1,91.6,91.1,91.5,11,91.56
2026-08-28T10:11:00.000+08:00,91.5,91.5,91.3,91.3,13,91.56
2026-08-28T10:12:00.000+08:00,91.4,91.5,91.3,91.3,4,91.56
2026-08-28T10:13:00.000+08:00,91.6,91.6,91.6,91.6,3,91.56
2026-08-28T10:14:00.000+08:00,91.6,91.6,91.4,91.4,19,91.56
2026-08-28T10:15:00.000+08:00,91.6,91.6,91.3,91.3,9,91.56
2026-08-28T10:16:00.000+08:00,91.3,91.6,91.1,91.1,57,91.56
2026-08-28T10:17:00.000+08:00,91.4,91.9,91.4,91.9,23,91.56
2026-08-28T10:18:00.000+08:00,91.9,92.6,91.9,92.4,134,91.58
2026-08-28T10:19:00.000+08:00,92.2,92.3,92,92.3,20,91.58
2026-08-28T10:20:00.000+08:00,92.2,93.3,92.2,93.2,127,91.6
2026-08-28T10:21:00.000+08:00,93,93,92.3,92.3,17,91.6
2026-08-28T10:22:00.000+08:00,92.2,92.3,92.2,92.2,18,91.6
2026-08-28T10:23:00.000+08:00,92.2,92.2,91.6,91.6,29,91.6
2026-08-28T10:24:00.000+08:00,91.6,91.6,91.1,91.3,48,91.6
2026-08-28T10:25:00.000+08:00,91.3,91.3,91,91,40,91.6
2026-08-28T10:26:00.000+08:00,91.2,91.3,91.1,91.3,15,91.6
2026-08-28T10:27:00.000+08:00,91.2,91.3,91,91.1,23,91.6
2026-08-28T10:28:00.000+08:00,91.1,91.1,90.9,90.9,39,91.59
2026-08-28T10:29:00.000+08:00,90.9,91,90.9,90.9,17,91.59
2026-08-28T10:30:00.000+08:00,91,91.1,90.9,91.1,17,91.59
2026-08-28T10:31:00.000+08:00,91.1,91.2,91.1,91.1,17,91.59
2026-08-28T10:32:00.000+08:00,91,91,90.9,90.9,22,91.59
2026-08-28T10:33:00.000+08:00,90.9,91.1,90.9,91.1,14,91.59
2026-08-28T10:34:00.000+08:00,91,91,90.8,90.9,29,91.59
