datetime,open,high,low,close,volume,average
2026-08-26T09:00:00.000+08:00,89.8,90.8,88.2,90.8,3688,89.83
2026-08-26T09:01:00.000+08:00,90.7,92.9,90.5,92,4337,90.92
2026-08-26T09:02:00.000+08:00,92,92.9,91.7,92.9,1386,91.11
2026-08-26T09:04:00.000+08:00,93.2,94.6,93.1,94.1,1634,91.46
2026-08-26T09:05:00.000+08:00,94.2,94.8,93.3,94.8,1958,91.83
2026-08-26T09:06:00.000+08:00,94.7,96.4,94.4,96.4,623,91.98
2026-08-26T09:08:00.000+08:00,96.7,97,93.6,94.1,3752,92.7
2026-08-26T09:09:00.000+08:00,94.3,95,94,94.7,1306,92.84
2026-08-26T09:10:00.000+08:00,94.7,94.9,94.3,94.8,1255,92.95
2026-08-26T09:11:00.000+08:00,94.9,95.8,94.3,95.3,1406,93.09
2026-08-26T09:12:00.000+08:00,95.2,95.6,94.9,95.3,863,93.17
2026-08-26T09:13:00.000+08:00,95.4,95.5,94.7,95.2,616,93.22
2026-08-26T09:14:00.000+08:00,95.1,96.3,95.1,96.3,852,93.31
2026-08-26T09:15:00.000+08:00,96.3,98,96.1,97.8,2465,93.68
2026-08-26T09:16:00.000+08:00,97.8,97.8,96.6,97.4,1137,93.84
2026-08-26T09:17:00.000+08:00,97.4,97.4,96.4,96.7,907,93.94
2026-08-26T09:18:00.000+08:00,96.7,97.4,96.6,96.7,660,94.01
2026-08-26T09:19:00.000+08:00,96.8,97.2,96.6,96.7,424,94.05
2026-08-26T09:20:00.000+08:00,96.6,96.9,96.1,96.8,768,94.11
2026-08-26T09:21:00.000+08:00,96.8,97.2,96.4,96.4,504,94.16
2026-08-26T09:22:00.000+08:00,96.4,96.9,96.2,96.2,452,94.19
2026-08-26T09:23:00.000+08:00,96.1,97.5,95.8,97.4,1587,94.32
2026-08-26T09:24:00.000+08:00,97.4,97.6,97,97,737,94.39
2026-08-26T09:25:00.000+08:00,96.9,97.3,96.8,97,349,94.41
2026-08-26T09:26:00.000+08:00,97.1,99,97.1,97.9,2425,94.66
2026-08-26T09:27:00.000+08:00,98,98.8,97.9,98.5,1119,94.77
2026-08-26T09:28:00.000+08:00,98.5,98.7,98.2,98.5,464,94.82
2026-08-26T09:29:00.000+08:00,98.5,98.7,98.3,98.5,241,94.84
2026-08-26T09:30:00.000+08:00,98.3,98.6,98.3,98.5,306,94.87
2026-08-26T09:31:00.000+08:00,98.6,99.8,98.6,99.4,5733,95.48
2026-08-26T09:32:00.000+08:00,99.3,99.4,98.5,98.5,468,95.52
2026-08-26T09:33:00.000+08:00,98.8,99,98.3,98.5,364,95.54
2026-08-26T09:34:00.000+08:00,98.5,98.7,98.1,98.6,429,95.57
2026-08-26T09:35:00.000+08:00,98.6,98.7,98.4,98.7,159,95.58
2026-08-26T09:36:00.000+08:00,98.7,98.7,98.5,98.5,153,95.59
2026-08-26T09:37:00.000+08:00,98.6,98.6,97.8,98.2,737,95.63
2026-08-26T09:38:00.000+08:00,98.2,98.2,97.9,97.9,253,95.64
2026-08-26T09:39:00.000+08:00,97.9,98,97.1,97.1,739,95.67
2026-08-26T09:40:00.000+08:00,97.1,97.4,96.5,96.8,856,95.69
2026-08-26T09:41:00.000+08:00,96.7,96.8,95.8,96,1033,95.71
2026-08-26T09:42:00.000+08:00,95.9,96.5,95.4,95.6,1078,95.71
2026-08-26T09:43:00.000+08:00,95.5,96.4,95.3,95.8,568,95.71
2026-08-26T09:44:00.000+08:00,95.8,95.8,95.2,95.3,625,95.71
2026-08-26T09:45:00.000+08:00,95.4,95.6,95,95.2,803,95.7
2026-08-26T09:46:00.000+08:00,95.2,95.5,94.5,94.6,1135,95.69
2026-08-26T09:47:00.000+08:00,94.6,95.7,94.5,95.5,742,95.68
2026-08-26T09:48:00.000+08:00,95.5,96.3,95.3,96.1,827,95.68
2026-08-26T09:49:00.000+08:00,96.1,96.2,95.7,95.8,524,95.68
2026-08-26T09:50:00.000+08:00,95.7,95.9,95.3,95.8,301,95.68
2026-08-26T09:51:00.000+08:00,95.9,96.4,95.8,96.4,248,95.68
2026-08-26T09:52:00.000+08:00,96.4,96.8,96,96.1,588,95.69
2026-08-26T09:53:00.000+08:00,96.1,96.2,95.8,96.1,166,95.69
2026-08-26T09:54:00.000+08:00,96.2,96.3,96,96.1,136,95.69
2026-08-26T09:55:00.000+08:00,96.1,96.2,95.9,95.9,158,95.7
2026-08-26T09:56:00.000+08:00,95.9,96.4,95.8,96.4,218,95.7
2026-08-26T09:57:00.000+08:00,96.4,96.8,96.4,96.7,502,95.71
2026-08-26T09:58:00.000+08:00,96.8,97,96.7,96.9,525,95.72
2026-08-26T09:59:00.000+08:00,96.9,96.9,96.6,96.8,193,95.72
2026-08-26T10:00:00.000+08:00,96.7,96.9,96.4,96.8,233,95.72
2026-08-26T10:01:00.000+08:00,96.9,96.9,96.7,96.8,122,95.73
2026-08-26T10:02:00.000+08:00,96.9,97,96.5,96.6,284,95.73
2026-08-26T10:03:00.000+08:00,96.6,96.9,96.2,96.9,305,95.73
2026-08-26T10:04:00.000+08:00,96.9,97.6,96.9,97.5,1036,95.76
2026-08-26T10:05:00.000+08:00,97.6,97.8,97.5,97.7,372,95.77
2026-08-26T10:06:00.000+08:00,97.7,97.9,97.5,97.5,348,95.78
2026-08-26T10:07:00.000+08:00,97.6,97.8,97.6,97.6,146,95.79
2026-08-26T10:08:00.000+08:00,97.6,97.9,97.2,97.2,327,95.8
2026-08-26T10:09:00.000+08:00,97.3,97.4,96.8,97.4,271,95.8
2026-08-26T10:10:00.000+08:00,97.4,97.6,97.4,97.5,186,95.81
2026-08-26T10:11:00.000+08:00,97.5,97.6,97.4,97.4,93,95.81
2026-08-26T10:12:00.000+08:00,97.5,98,97.5,97.8,530,95.83
2026-08-26T10:13:00.000+08:00,97.9,98.5,97.9,98.4,635,95.85
2026-08-26T10:14:00.000+08:00,98.4,98.4,97.6,97.6,253,95.86
2026-08-26T10:15:00.000+08:00,97.7,97.8,97.7,97.8,67,95.86
2026-08-26T10:16:00.000+08:00,97.8,98,97.8,97.9,73,95.87
2026-08-26T10:17:00.000+08:00,98,98,97.8,97.8,106,95.87
2026-08-26T10:18:00.000+08:00,97.9,97.9,97.4,97.5,246,95.88
2026-08-26T10:19:00.000+08:00,97.5,97.5,97.2,97.3,143,95.88
2026-08-26T10:20:00.000+08:00,97.3,97.6,97.3,97.5,61,95.88
2026-08-26T10:21:00.000+08:00,97.5,97.7,97.5,97.6,40,95.88
2026-08-26T10:22:00.000+08:00,97.5,97.6,97.5,97.5,31,95.88
2026-08-26T10:23:00.000+08:00,97.5,97.6,97.5,97.6,31,95.88
2026-08-26T10:24:00.000+08:00,97.6,97.7,97.5,97.5,44,95.88
2026-08-26T10:25:00.000+08:00,97.6,97.6,97.5,97.6,48,95.89
2026-08-26T10:26:00.000+08:00,97.6,97.6,97,97,124,95.89
2026-08-26T10:27:00.000+08:00,97,97,96.5,96.8,297,95.89
2026-08-26T10:28:00.000+08:00,96.7,97.1,96.7,97.1,124,95.89
2026-08-26T10:29:00.000+08:00,97,97.2,97,97.1,41,95.89
2026-08-26T10:30:00.000+08:00,97.1,97.1,96.8,96.8,119,95.9
2026-08-26T10:31:00.000+08:00,96.8,97,96.8,96.9,88,95.9
2026-08-26T10:32:00.000+08:00,96.9,97.2,96.9,97.1,38,95.9
2026-08-26T10:33:00.000+08:00,97.1,97.1,97,97,26,95.9
2026-08-26T10:34:00.000+08:00,97,97.4,97,97.3,92,95.9
2026-08-26T10:35:00.000+08:00,97.2,97.5,97.2,97.5,28,95.9
2026-08-26T10:36:00.000+08:00,97.5,97.5,97.3,97.3,58,95.9
2026-08-26T10:37:00.000+08:00,97.4,97.4,96.9,96.9,84,95.9
2026-08-26T10:38:00.000+08:00,96.9,96.9,96.8,96.8,76,95.9
2026-08-26T10:39:00.000+08:00,96.7,96.9,96.7,96.9,34,95.91
2026-08-26T10:40:00.000+08:00,96.9,97.3,96.9,97.2,44,95.91
2026-08-26T10:41:00.000+08:00,97.3,97.9,97.2,97.9,274,95.91
2026-08-26T10:42:00.000+08:00,97.9,97.9,97.7,97.7,111,95.92
2026-08-26T10:43:00.000+08:00,97.7,97.9,97.7,97.8,124,95.92
2026-08-26T10:44:00.000+08:00,97.8,97.8,97.4,97.6,74,95.92
2026-08-26T10:45:00.000+08:00,97.7,98.4,97.7,98.4,611,95.94
2026-08-26T10:46:00.000+08:00,98.5,99.8,98.5,99.8,10567,96.45
2026-08-26T10:47:00.000+08:00,99.8,99.8,99.8,99.8,580,96.47
2026-08-26T10:48:00.000+08:00,99.8,99.8,99.8,99.8,216,96.48
2026-08-26T10:49:00.000+08:00,99.8,99.8,99.8,99.8,143,96.49
2026-08-26T10:50:00.000+08:00,99.8,99.8,99.8,99.8,141,96.49
2026-08-26T10:51:00.000+08:00,99.8,99.8,99.8,99.8,128,96.5
