date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-07-01,1444,力麗,20260630,8.96,16896.428,9.45,5.4688,<30
2026-07-01,1710,東聯,20260630,16.75,47970.615,18.00,7.4627,<30
2026-07-01,1718,中纖,20260630,13.45,92049.285,14.35,6.6914,<30
2026-07-01,1802,台玻,20260630,74.80,137333.43,76.30,2.0053,70-100
2026-07-01,2208,台船,20260630,19.30,14662.514,20.10,4.1451,<30
2026-07-01,2352,佳世達,20260630,34.10,40778.248,34.10,0.0000,30-50
2026-07-01,2406,國碩,20260630,41.80,63974.957,45.00,7.6555,30-50
2026-07-01,2425,承啟,20260630,45.20,12102.707,46.00,1.7699,30-50
2026-07-01,2630,亞航,20260630,48.85,7685.028,50.00,2.3541,50-70
2026-07-01,3236,千如,20260630,68.90,8757,70.00,1.5965,70-100
2026-07-01,3360,尚立,20260630,22.70,14577,23.05,1.5419,<30
2026-07-01,3707,漢磊,20260630,86.90,16261,90.30,3.9125,70-100
2026-07-01,5314,世紀*,20260630,66.80,16637,67.60,1.1976,50-70
2026-07-01,5328,華容,20260630,71.10,29833,75.80,6.6104,70-100
2026-07-01,5371,中光電,20260630,86.90,42297,89.30,2.7618,70-100
2026-07-01,6127,九豪,20260630,92.90,10872,94.80,2.0452,70-100
2026-07-01,6226,光鼎,20260630,22.05,8951.894,24.25,9.9773,<30
