date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-01-07,1717,長興,20260106,50.70,83779.541,51.20,0.9862,50-70
2026-01-07,2337,旺宏,20260106,52.40,377247.63,57.00,8.7786,50-70
2026-01-07,2342,茂矽,20260106,32.90,7905.499,36.15,9.8784,30-50
2026-01-07,2349,錸德,20260106,14.70,19672.037,15.00,2.0408,<30
2026-01-07,2409,友達,20260106,15.20,322393.571,16.40,7.8947,<30
2026-01-07,2489,瑞軒,20260106,17.30,28594.503,17.60,1.7341,<30
2026-01-07,3481,群創,20260106,21.85,1042548.581,22.55,3.2037,<30
2026-01-07,4927,泰鼎-KY,20260106,35.55,55963.205,36.70,3.2349,30-50
2026-01-07,6116,彩晶,20260106,9.65,41239.683,10.60,9.8446,<30
2026-01-07,6120,達運,20260106,13.50,15012.376,13.55,0.3704,<30
2026-01-07,6770,力積電,20260106,47.75,447327.296,50.00,4.7120,50-70
2026-01-07,8105,凌巨,20260106,13.65,12804.816,14.20,4.0293,<30
