date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-05-20,2355,敬鵬,20260519,63.40,40844.819,64.50,1.7350,50-70
2026-05-20,3576,聯合再生,20260519,19.25,68886.114,18.65,-3.1169,<30
2026-05-20,3615,安可,20260519,45.00,5521,46.50,3.3333,30-50
2026-05-20,3663,鑫科,20260519,83.40,14543,85.50,2.5180,70-100
2026-05-20,3673,TPK-KY,20260519,75.40,31020.207,76.80,1.8568,70-100
2026-05-20,4729,熒茂,20260519,25.05,7107,24.80,-0.9980,<30
2026-05-20,5425,台半,20260519,85.60,25974,85.60,0.0000,70-100
2026-05-20,6742,澤米,20260519,52.20,6094.432,53.60,2.6820,50-70
