date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-03-23,2014,中鴻,20260320,19.60,24831.023,20.00,2.0408,<30
2026-03-23,2323,中環,20260320,13.10,35236.236,13.00,-0.7634,<30
2026-03-23,2349,錸德,20260320,15.80,20069.681,15.80,0.0000,<30
2026-03-23,2369,菱生,20260320,35.75,104183.985,35.80,0.1399,30-50
2026-03-23,2388,威盛,20260320,55.30,9330.172,54.40,-1.6275,50-70
2026-03-23,2399,映泰,20260320,37.20,52430.514,35.30,-5.1075,30-50
2026-03-23,3049,精金,20260320,18.00,46850.599,16.50,-8.3333,<30
2026-03-23,3221,台嘉碩,20260320,36.75,5610,36.40,-0.9524,30-50
2026-03-23,6163,華電網,20260320,62.90,13552,61.00,-3.0207,50-70
2026-03-23,6530,創威,20260320,88.70,8748,89.80,1.2401,70-100
2026-03-23,8215,明基材,20260320,26.85,8911.962,26.55,-1.1173,<30
