date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-05-08,1504,東元,20260507,74.00,43629.834,74.60,0.8108,70-100
2026-05-08,1605,華新,20260507,35.85,105026.332,36.00,0.4184,30-50
2026-05-08,2338,光罩,20260507,54.30,17928.655,54.00,-0.5525,50-70
2026-05-08,2342,茂矽,20260507,45.95,16079.768,45.75,-0.4353,30-50
2026-05-08,2484,希華,20260507,44.85,20466.665,44.40,-1.0033,30-50
2026-05-08,3094,聯傑,20260507,33.35,7117.486,34.05,2.0990,30-50
2026-05-08,3354,律勝,20260507,34.20,8179,36.00,5.2632,30-50
2026-05-08,3576,聯合再生,20260507,17.20,34205.727,17.40,1.1628,<30
2026-05-08,3624,光頡,20260507,59.40,9424,57.80,-2.6936,50-70
2026-05-08,4540,全球傳動,20260507,75.70,22444.945,74.00,-2.2457,70-100
2026-05-08,4720,德淵,20260507,27.90,7363.354,27.00,-3.2258,<30
2026-05-08,4906,正文,20260507,38.70,20084.641,41.50,7.2351,30-50
2026-05-08,4956,光鋐,20260507,52.80,10475.212,53.50,1.3258,50-70
2026-05-08,5328,華容,20260507,28.60,16859,29.10,1.7483,<30
2026-05-08,5864,致和證,20260507,34.30,10137,35.75,4.2274,30-50
2026-05-08,6108,競國,20260507,24.20,9910.997,22.15,-8.4711,<30
2026-05-08,6116,彩晶,20260507,9.40,69808.033,9.37,-0.3191,<30
2026-05-08,6182,合晶,20260507,55.60,68933,56.30,1.2590,50-70
2026-05-08,6244,茂迪,20260507,30.30,12935,31.00,2.3102,30-50
2026-05-08,6770,力積電,20260507,63.90,312338.758,65.00,1.7214,50-70
2026-05-08,8042,金山電,20260507,85.00,9735,85.00,0.0000,70-100
2026-05-08,8289,泰藝,20260507,52.50,6807,52.30,-0.3810,50-70
