date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-01-19,1528,恩德,20260116,28.35,12470.564,30.30,6.8783,30-50
2026-01-19,1721,三晃,20260116,20.60,19929.694,19.95,-3.1553,<30
2026-01-19,1802,台玻,20260116,41.80,195740.899,44.70,6.9378,30-50
2026-01-19,1809,中釉,20260116,22.75,9588.916,25.00,9.8901,<30
2026-01-19,2457,飛宏,20260116,32.25,21854.448,34.10,5.7364,30-50
2026-01-19,4533,協易機,20260116,30.35,15570,31.10,2.4712,30-50
2026-01-19,4973,廣穎,20260116,53.00,12860,56.70,6.9811,50-70
2026-01-19,5328,華容,20260116,28.40,28779,30.35,6.8662,30-50
2026-01-19,5340,建榮,20260116,84.20,13644,88.00,4.5131,70-100
2026-01-19,5452,佶優,20260116,34.85,5095,36.30,4.1607,30-50
2026-01-19,6770,力積電,20260116,56.40,110873.464,62.00,9.9291,50-70
2026-01-19,8088,品安,20260116,66.50,32948,73.10,9.9248,70-100
2026-01-19,8150,南茂,20260116,67.70,78350.42,71.10,5.0222,70-100
