date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-01-08,1303,南亞,20260107,64.70,206471.229,66.20,2.3184,50-70
2026-01-08,1605,華新,20260107,39.65,264591.244,39.80,0.3783,30-50
2026-01-08,1717,長興,20260107,55.70,127396.434,55.70,0.0000,50-70
2026-01-08,2303,聯電,20260107,54.10,232693.576,57.00,5.3604,50-70
2026-01-08,2337,旺宏,20260107,57.60,465772.691,57.30,-0.5208,50-70
2026-01-08,2342,茂矽,20260107,36.15,16586.167,35.00,-3.1812,30-50
2026-01-08,2349,錸德,20260107,16.15,23887.955,16.85,4.3344,<30
2026-01-08,2367,燿華,20260107,31.65,102198.332,32.00,1.1058,30-50
2026-01-08,2369,菱生,20260107,26.65,32173.378,27.70,3.9400,<30
2026-01-08,2409,友達,20260107,16.70,852102.789,16.95,1.4970,<30
2026-01-08,2495,普安,20260107,33.30,24501.039,33.60,0.9009,30-50
2026-01-08,3049,精金,20260107,7.19,10526.934,7.48,4.0334,<30
2026-01-08,3060,銘異,20260107,36.35,16229.715,38.00,4.5392,30-50
2026-01-08,3576,聯合再生,20260107,9.32,24008.305,9.82,5.3648,<30
2026-01-08,4973,廣穎,20260107,44.10,12482,44.90,1.8141,30-50
2026-01-08,5521,工信,20260107,23.90,10026.57,25.60,7.1130,<30
2026-01-08,6116,彩晶,20260107,10.60,35250.609,11.25,6.1321,<30
2026-01-08,6244,茂迪,20260107,22.10,12855,22.75,2.9412,<30
2026-01-08,6443,元晶,20260107,28.40,80654.537,29.80,4.9296,<30
2026-01-08,8105,凌巨,20260107,15.00,28057.364,15.60,4.0000,<30
2026-01-08,8215,明基材,20260107,22.20,10972.629,22.00,-0.9009,<30
2026-01-08,8422,可寧衛*,20260107,34.90,162827.918,36.20,3.7249,30-50
