date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-07-06,1304,台聚,20260703,15.50,27511.662,15.80,1.9355,<30
2026-07-06,1308,亞聚,20260703,15.85,14799.638,16.80,5.9937,<30
2026-07-06,1309,台達化,20260703,16.70,21664.264,16.60,-0.5988,<30
2026-07-06,1310,台苯,20260703,11.40,25050.677,12.05,5.7018,<30
2026-07-06,1313,聯成,20260703,14.30,38850.531,14.50,1.3986,<30
2026-07-06,1314,中石化,20260703,9.88,294715.987,10.50,6.2753,<30
2026-07-06,1326,台化,20260703,68.00,97646.905,72.80,7.0588,70-100
2026-07-06,1409,新纖,20260703,31.00,79612.192,34.10,10.0000,30-50
2026-07-06,1447,力鵬,20260703,9.99,37908.67,10.75,7.6076,<30
2026-07-06,1714,和桐,20260703,22.75,16799.991,25.00,9.8901,<30
2026-07-06,1717,長興,20260703,81.60,60578.407,82.40,0.9804,70-100
2026-07-06,1718,中纖,20260703,14.95,148912.446,15.80,5.6856,<30
2026-07-06,1810,和成,20260703,23.25,20422.279,24.60,5.8065,<30
2026-07-06,2103,台橡,20260703,23.50,20839.602,25.50,8.5106,<30
2026-07-06,2208,台船,20260703,20.80,19252.042,22.35,7.4519,<30
2026-07-06,2332,友訊,20260703,20.00,30087.976,20.55,2.7500,<30
2026-07-06,2427,三商電,20260703,26.65,15242.152,26.85,0.7505,<30
2026-07-06,2484,希華,20260703,96.40,117755.286,98.10,1.7635,70-100
2026-07-06,2601,益航,20260703,6.00,5252.076,6.60,10.0000,<30
2026-07-06,2630,亞航,20260703,55.80,17354.212,55.00,-1.4337,50-70
2026-07-06,2634,漢翔,20260703,60.00,45980.427,63.40,5.6667,50-70
2026-07-06,3663,鑫科,20260703,88.40,10844,87.80,-0.6787,70-100
2026-07-06,4128,中天,20260703,17.15,8166,18.80,9.6210,<30
2026-07-06,4541,晟田,20260703,60.70,6332,63.80,5.1071,50-70
2026-07-06,4564,元翎,20260703,18.25,6177.982,19.25,5.4795,<30
2026-07-06,4743,合一,20260703,57.30,11230,60.90,6.2827,50-70
2026-07-06,5314,世紀*,20260703,71.50,28765,73.00,2.0979,70-100
2026-07-06,5371,中光電,20260703,93.10,39894,95.70,2.7927,70-100
2026-07-06,5488,松普,20260703,15.45,7017,15.40,-0.3236,<30
2026-07-06,6174,安碁,20260703,61.80,8858,64.10,3.7217,50-70
2026-07-06,8222,寶一,20260703,44.75,5995.813,45.25,1.1173,30-50
