date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-01-09,1714,和桐,20260108,8.97,18741.577,9.28,3.4560,<30
2026-01-09,2337,旺宏,20260108,63.30,528977.458,63.30,0.0000,50-70
2026-01-09,4973,廣穎,20260108,48.50,12434,51.30,5.7732,50-70
2026-01-09,6015,宏遠證,20260108,12.35,14044,12.85,4.0486,<30
2026-01-09,6016,康和證,20260108,15.15,31359,15.85,4.6205,<30
2026-01-09,6116,彩晶,20260108,11.65,282348.036,11.65,0.0000,<30
2026-01-09,6443,元晶,20260108,31.20,71328.411,32.30,3.5256,30-50
2026-01-09,6603,富強鑫,20260108,30.45,12148,31.95,4.9261,30-50
2026-01-09,8074,鉅橡,20260108,51.20,9116,52.00,1.5625,50-70
2026-01-09,8088,品安,20260108,54.10,25570,55.80,3.1423,50-70
