date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-05-15,2498,宏達電,20260514,44.10,21497.834,46.35,5.1020,30-50
2026-05-15,3048,益登,20260514,51.00,34119.735,56.00,9.8039,50-70
2026-05-15,3624,光頡,20260514,73.20,6050,74.10,1.2295,70-100
2026-05-15,3707,漢磊,20260514,80.00,37627,85.00,6.2500,70-100
2026-05-15,6209,今國光,20260514,68.30,12031.271,68.30,0.0000,50-70
2026-05-15,6834,天二科技,20260514,48.25,5442.591,48.20,-0.1036,30-50
2026-05-15,7777,能率亞洲,20260514,34.15,6504,36.20,6.0029,30-50
2026-05-15,8163,達方,20260514,32.30,6437.549,32.35,0.1548,30-50
