date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-05-27,2061,風青,20260526,32.20,8034,31.55,-2.0186,30-50
2026-05-27,2070,精湛,20260526,75.40,6620,79.00,4.7745,70-100
2026-05-27,2302,麗正,20260526,33.95,18505.491,36.00,6.0383,30-50
2026-05-27,2312,金寶,20260526,40.00,210267.926,38.85,-2.8750,30-50
2026-05-27,2369,菱生,20260526,37.70,58300.95,38.85,3.0504,30-50
2026-05-27,3673,TPK-KY,20260526,87.40,26030.149,91.30,4.4622,70-100
2026-05-27,4526,東台,20260526,44.35,27008.283,45.80,3.2694,30-50
2026-05-27,5285,界霖,20260526,89.60,10380.797,92.60,3.3482,70-100
2026-05-27,6127,九豪,20260526,57.20,24323,62.50,9.2657,50-70
2026-05-27,6141,柏承,20260526,35.75,5123.644,39.25,9.7902,30-50
2026-05-27,6161,捷波,20260526,65.00,5595,63.80,-1.8462,50-70
2026-05-27,6182,合晶,20260526,84.40,22082,85.40,1.1848,70-100
2026-05-27,6234,高僑,20260526,55.30,6731,59.60,7.7758,50-70
2026-05-27,6405,悅城,20260526,75.90,7479.993,83.30,9.7497,70-100
2026-05-27,6456,GIS-KY,20260526,82.00,23937.751,80.70,-1.5854,70-100
2026-05-27,6548,長科*,20260526,60.30,23726,60.80,0.8292,50-70
2026-05-27,6821,聯寶,20260526,69.40,6234,72.50,4.4669,70-100
2026-05-27,8110,華東,20260526,55.10,43681.777,60.00,8.8929,50-70
2026-05-27,8249,菱光,20260526,58.30,9046.165,58.80,0.8576,50-70
2026-05-27,8926,台汽電,20260526,68.70,18031.005,69.00,0.4367,50-70
