date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-03-13,1305,華夏,20260312,14.00,19099.009,14.50,3.5714,<30
2026-03-13,1309,台達化,20260312,15.10,13535.679,16.15,6.9536,<30
2026-03-13,1432,大魯閣,20260312,19.00,6497.07,19.00,0.0000,<30
2026-03-13,1727,中華化,20260312,55.30,14683.106,55.00,-0.5425,50-70
2026-03-13,2426,鼎元,20260312,30.90,13888.131,32.95,6.6343,30-50
2026-03-13,2468,華經,20260312,39.30,7747.769,38.45,-2.1628,30-50
2026-03-13,2485,兆赫,20260312,60.80,70654.877,62.60,2.9605,50-70
2026-03-13,3093,港建*,20260312,36.90,6490,39.00,5.6911,30-50
2026-03-13,3339,泰谷,20260312,31.35,5637,31.85,1.5949,30-50
2026-03-13,3437,榮創,20260312,17.65,8577.087,19.00,7.6487,<30
2026-03-13,3498,陽程,20260312,73.50,9936,73.50,0.0000,70-100
2026-03-13,3508,位速,20260312,39.70,5269,39.20,-1.2594,30-50
2026-03-13,3615,安可,20260312,35.10,6964,35.95,2.4217,30-50
2026-03-13,3663,鑫科,20260312,72.60,13972,73.90,1.7906,70-100
2026-03-13,3714,富采,20260312,43.65,21369.493,44.50,1.9473,30-50
2026-03-13,4938,和碩,20260312,77.10,36522.383,76.80,-0.3891,70-100
2026-03-13,4949,有成精密,20260312,62.20,7689.638,62.30,0.1608,50-70
2026-03-13,4956,光鋐,20260312,28.40,9169.253,29.10,2.4648,<30
2026-03-13,4960,誠美材,20260312,21.15,18419.704,22.60,6.8558,<30
2026-03-13,4973,廣穎,20260312,61.10,20364,60.00,-1.8003,50-70
2026-03-13,6147,頎邦,20260312,61.00,23946,60.40,-0.9836,50-70
2026-03-13,6265,方土昶,20260312,41.50,22176,40.45,-2.5301,30-50
