date,code,name,prev_date,prev_close,prev_volume_lots,open,open_gap_pct,price_bucket
2026-01-23,1609,大亞,20260122,47.30,53761.266,49.60,4.8626,30-50
2026-01-23,2356,英業達,20260122,51.20,141656.409,54.50,6.4453,50-70
2026-01-23,2444,兆勁,20260122,15.00,5805.987,15.35,2.3333,<30
2026-01-23,2489,瑞軒,20260122,23.15,33014.829,23.10,-0.2160,<30
2026-01-23,3049,精金,20260122,11.10,19692.237,12.15,9.4595,<30
2026-01-23,3234,光環,20260122,56.20,6812,56.50,0.5338,50-70
2026-01-23,3543,州巧,20260122,51.30,9943.081,53.80,4.8733,50-70
2026-01-23,3624,光頡,20260122,67.60,7484,68.20,0.8876,50-70
2026-01-23,4533,協易機,20260122,35.35,48279,35.35,0.0000,30-50
2026-01-23,4939,亞電,20260122,51.30,14772,54.00,5.2632,50-70
2026-01-23,6142,友勁,20260122,10.95,5385.361,11.00,0.4566,<30
2026-01-23,6155,鈞寶,20260122,62.80,8295.71,64.00,1.9108,50-70
2026-01-23,6202,盛群,20260122,44.20,8349.436,45.00,1.8100,30-50
2026-01-23,6548,長科*,20260122,58.60,25670,61.50,4.9488,50-70
2026-01-23,7780,大研生醫*,20260122,27.00,94598.331,27.70,2.5926,<30
