datetime,open,high,low,close,volume,average
2026-08-27T09:00:00.000+08:00,61.9,64,61.8,64,1451,62.31
2026-08-27T09:02:00.000+08:00,64.1,64.1,62.2,63.5,995,62.85
2026-08-27T09:03:00.000+08:00,63.5,64.4,63.3,64.1,579,63.05
2026-08-27T09:04:00.000+08:00,64,65.8,63.9,65.3,1061,63.55
2026-08-27T09:05:00.000+08:00,65.3,65.6,65,65.2,375,63.69
2026-08-27T09:06:00.000+08:00,65.1,65.2,64.5,64.9,307,63.77
2026-08-27T09:07:00.000+08:00,64.9,65.1,64.6,64.8,188,63.81
2026-08-27T09:08:00.000+08:00,64.8,65.3,64.7,64.8,200,63.86
2026-08-27T09:09:00.000+08:00,64.8,64.8,64.4,64.7,155,63.88
2026-08-27T09:10:00.000+08:00,64.6,65.2,64.1,65,308,63.92
2026-08-27T09:11:00.000+08:00,65.1,65.7,64.3,65,540,64.04
2026-08-27T09:12:00.000+08:00,64.9,65.7,64.9,65.3,279,64.1
2026-08-27T09:13:00.000+08:00,65.3,65.4,65,65.4,91,64.11
2026-08-27T09:14:00.000+08:00,65.4,65.4,64.7,65,164,64.13
2026-08-27T09:15:00.000+08:00,65.2,66.1,65,65.6,715,64.29
2026-08-27T09:16:00.000+08:00,65.6,66.1,65.6,66.1,197,64.33
2026-08-27T09:17:00.000+08:00,66.1,66.7,66.1,66.4,541,64.47
2026-08-27T09:18:00.000+08:00,66.4,66.6,66.4,66.6,192,64.51
2026-08-27T09:19:00.000+08:00,66.5,66.6,66.4,66.6,97,64.54
2026-08-27T09:20:00.000+08:00,66.6,66.6,65.8,66,297,64.59
2026-08-27T09:21:00.000+08:00,66.1,66.7,66.1,66.4,164,64.63
2026-08-27T09:22:00.000+08:00,66.4,66.5,66.1,66.4,63,64.64
2026-08-27T09:23:00.000+08:00,66.4,66.5,66.3,66.5,80,64.65
2026-08-27T09:24:00.000+08:00,66.3,66.5,65.9,66.2,102,64.67
2026-08-27T09:25:00.000+08:00,66.2,66.3,65.5,65.8,103,64.68
2026-08-27T09:26:00.000+08:00,66,66.4,65.7,66.2,147,64.7
2026-08-27T09:27:00.000+08:00,66.1,66.4,66.1,66.3,65,64.71
2026-08-27T09:28:00.000+08:00,66.4,66.5,66.3,66.4,134,64.74
2026-08-27T09:29:00.000+08:00,66.4,66.5,66.1,66.2,84,64.75
2026-08-27T09:30:00.000+08:00,66.1,66.3,65.9,66.2,59,64.76
